advertiser_id,name,category,category_idx,tier,daily_budget,initial_bid,quality,audience_tags,creatives,objective,value_per_conversion,base_ctr
0,美妆000,美妆个护,0,M,147.02315627373403,1.0055277569835395,0.6752019072511406,白领|学生,美妆000美妆个护 成分安全，学生专享，促销调性，复购导向，价格优惠，立即行动|美妆000美妆个护 价格优惠，白领专享，情感调性，复购导向，限量，立即行动,转化,55.0,0.11555583870857897
1,3C001,3C数码,1,S,37.672415490077896,1.0467049606408836,0.935268944836164,年轻人|男性,3C0013C数码 新品首发，年轻人专享，专业调性，拉新导向，价格优惠，立即行动|3C0013C数码 新品首发，白领专享，专业调性，到店导向，限量，立即行动,复购,35.0,0.09690941035862397
2,服饰002,服饰鞋包,2,M,142.22758236209214,0.9739175307090595,0.7577439739414125,学生|女性,服饰002服饰鞋包 潮流新款，年轻人专享，潮流调性，转化导向，免费，立即行动|服饰002服饰鞋包 换季折扣，学生专享，促销调性，到店导向，免费，立即行动,拉新,55.0,0.12257944585441784
3,食品003,食品饮料,3,S,44.876229719948824,0.9140022970968874,0.6991812227644967,家庭|年轻人,食品003食品饮料 产地直供，家庭专享，促销调性，复购导向，限量，立即行动|食品003食品饮料 产地直供，家庭专享，促销调性，复购导向，免费，立即行动,到店,35.0,0.10437377193458026
4,本地004,本地生活,4,S,41.099859135246305,0.866982929852798,0.826831465852962,本地|白领,本地004本地生活 商圈热销，本地专享，亲切调性，转化导向，限量，立即行动|本地004本地生活 商圈热销，白领专享，亲切调性，品牌导向，免费，立即行动,品牌,35.0,0.12989882622468793
5,游戏005,游戏娱乐,5,S,38.9874782277178,1.0029571057508584,0.9161934025509777,男性|年轻人,游戏005游戏娱乐 限时皮肤，男性专享，紧迫调性，复购导向，免费，立即行动|游戏005游戏娱乐 新服开测，男性专享，幽默调性，转化导向，免费，立即行动,转化,35.0,0.0961739135023677
6,金融006,金融信贷,6,M,144.38321168640422,0.9548130285068894,0.6640055343195824,年轻人|男性,金融006金融信贷 新人礼，白领专享，权威调性，拉新导向，限量，立即行动|金融006金融信贷 额度高，年轻人专享，权威调性，转化导向，免费，立即行动,复购,55.0,0.08676148117866699
7,教育007,教育培训,7,S,38.09633961754372,0.8492042025547015,0.7541914527202006,白领|学生,教育007教育培训 小班教学，白领专享，亲切调性，品牌导向，免费，立即行动|教育007教育培训 名师授课，白领专享，亲切调性，到店导向，价格优惠，立即行动,品牌,35.0,0.09840563578187203
8,美妆008,美妆个护,0,S,43.47024302654393,0.7879658783988148,0.6263465033092296,学生|白领,美妆008美妆个护 成分安全，女性专享，促销调性，到店导向，折扣，立即行动|美妆008美妆个护 限量礼盒，白领专享，情感调性，品牌导向，折扣，立即行动,复购,35.0,0.09589124884264741
9,3C009,3C数码,1,S,43.511407295214994,0.9279211453625645,0.7593160308919326,白领|男性,3C0093C数码 性能强悍，年轻人专享，潮流调性，拉新导向，免费，立即行动|3C0093C数码 性价比，白领专享，潮流调性，品牌导向，价格优惠，立即行动,复购,35.0,0.10043704291046886
10,服饰010,服饰鞋包,2,S,41.40231315484339,0.8232298160700303,0.7712773247032372,年轻人|女性,服饰010服饰鞋包 限时优惠，女性专享，促销调性，品牌导向，限量，立即行动|服饰010服饰鞋包 换季折扣，女性专享，潮流调性，转化导向，折扣，立即行动,转化,35.0,0.08146848117188951
11,食品011,食品饮料,3,S,39.85131190967233,0.9497291319931196,0.634797662293243,年轻人|家庭,食品011食品饮料 健康低脂，女性专享，亲切调性，转化导向，价格优惠，立即行动|食品011食品饮料 礼盒装，女性专享，亲切调性，品牌导向，限量，立即行动,品牌,35.0,0.08020923759936273
12,本地012,本地生活,4,S,40.86457829662479,0.6990380466354772,0.8321253754812603,本地|白领,本地012本地生活 商圈热销，本地专享，亲切调性，品牌导向，限量，立即行动|本地012本地生活 团购低价，本地专享，促销调性，拉新导向，限量，立即行动,转化,35.0,0.09027384181853339
13,游戏013,游戏娱乐,5,S,37.93475654179902,0.8014335984930737,0.8336824120341711,游戏|年轻人,游戏013游戏娱乐 新服开测，游戏专享，幽默调性，复购导向，折扣，立即行动|游戏013游戏娱乐 免费下载，男性专享，幽默调性，到店导向，价格优惠，立即行动,品牌,35.0,0.1167697840747269
14,金融014,金融信贷,6,S,47.87800902489339,0.9207105501266544,0.9117887615449093,白领|年轻人,金融014金融信贷 专业合规，白领专享，权威调性，品牌导向，限量，立即行动|金融014金融信贷 额度高，男性专享，权威调性，转化导向，价格优惠，立即行动,品牌,35.0,0.1315818251282087
15,教育015,教育培训,7,M,135.74763095537187,0.75306371619354,0.7857634008668142,宝妈|学生,教育015教育培训 名师授课，宝妈专享，专业调性，拉新导向，价格优惠，立即行动|教育015教育培训 小班教学，宝妈专享，亲切调性，品牌导向，折扣，立即行动,复购,55.0,0.0726368160150867
16,美妆016,美妆个护,0,S,47.54922281697547,0.8993853759935915,1.0,女性|学生,美妆016美妆个护 限量礼盒，女性专享，情感调性，转化导向，折扣，立即行动|美妆016美妆个护 新品上市，学生专享，情感调性，转化导向，价格优惠，立即行动,复购,35.0,0.09673114202950975
17,3C017,3C数码,1,S,44.86599241891621,1.0099083050827216,0.9688978233576461,白领|年轻人,3C0173C数码 性价比，男性专享，专业调性，复购导向，限量，立即行动|3C0173C数码 性能强悍，男性专享，潮流调性，到店导向，免费，立即行动,转化,35.0,0.07347214564520872
18,服饰018,服饰鞋包,2,S,40.88316867722919,0.9211888030144454,0.7418996679999706,学生|年轻人,服饰018服饰鞋包 会员专享，女性专享，潮流调性，品牌导向，免费，立即行动|服饰018服饰鞋包 限时优惠，女性专享，促销调性，品牌导向，折扣，立即行动,转化,35.0,0.07831223855533267
19,食品019,食品饮料,3,S,33.74630394825176,0.812509939470767,0.8273873996166686,女性|年轻人,食品019食品饮料 第二件半价，年轻人专享，亲切调性，品牌导向，价格优惠，立即行动|食品019食品饮料 礼盒装，年轻人专享，促销调性，品牌导向，折扣，立即行动,转化,35.0,0.08691707119864407
